Movie-Name,Rating,Director/s,Stars
Justice League,6.20,"Zack Snyder,  ","Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller"
Promising Young Woman,7.50,"Emerald Fennell,  ","Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown"
Nomadland,7.60,"Chloé Zhao,  ","Frances McDormand, David Strathairn, Linda May, Gay DeForest"
Batman v Superman: Dawn of Justice,6.40,"Zack Snyder,  ","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg"
Wonder Woman 1984,5.40,"Patty Jenkins,  ","Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal"
Avengers: Endgame,8.40,"Anthony Russo, Joe Russo,  ","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
The Father,8.30,"Florian Zeller,  ","Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams"
Sound of Metal,7.80,"Darius Marder,  ","Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff"
I Care a Lot,6.30,"J Blakeson,  ","Rosamund Pike, Peter Dinklage, Eiza González, Dianne Wiest"
Man of Steel,7.00,"Zack Snyder,  ","Henry Cavill, Amy Adams, Michael Shannon, Diane Lane"
Minari,7.60,"Lee Isaac Chung,  ","Steven Yeun, Yeri Han, Alan S. Kim, Noel Cho"
The Trial of the Chicago 7,7.80,"Aaron Sorkin,  ","Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong"
Mank,7.00,"David Fincher,  ","Gary Oldman, Amanda Seyfried, Lily Collins, Tom Pelphrey"
Aquaman,6.90,"James Wan,  ","Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson"
Four Good Days,6.10,"Rodrigo García,  ","Mila Kunis, Glenn Close, Stephen Root, Carla Gallo"
Coming to America,7.10,"John Landis,  ","Eddie Murphy, Paul Bates, Garcelle Beauvais, Feather"
Tenet,7.50,"Christopher Nolan,  ","John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak"
Skylines,4.70,"Liam O'Donnell,  ","Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra"
The Courier,7.30,"Dominic Cooke,  ","Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Vladimir Chuprikov"
Suicide Squad,6.00,"David Ayer,  ","Will Smith, Jared Leto, Margot Robbie, Viola Davis"
Soul,8.10,"Pete Docter, Kemp Powers,  ","Jamie Foxx, Tina Fey, Graham Norton, Rachel House"
Savages,6.50,"Oliver Stone,  ","Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively, Benicio Del Toro"
News of the World,6.80,"Paul Greengrass,  ","Tom Hanks, Helena Zengel, Tom Astor, Travis Johnson"
Druk,7.80,"Thomas Vinterberg,  ","Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe"
Wonder Woman,7.40,"Patty Jenkins,  ","Gal Gadot, Chris Pine, Robin Wright, Lucy Davis"
The Dark Knight,9.00,"Christopher Nolan,  ","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
The Mighty Ducks,6.60,"Stephen Herek,  ","Emilio Estevez, Joss Ackland, Lane Smith, Heidi Kling"
365 dni,3.20,"Barbara Bialowas, Tomasz Mandes,  ","Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze"
Avengers: Infinity War,8.40,"Anthony Russo, Joe Russo,  ","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans"
Watchmen,7.60,"Zack Snyder,  ","Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman"
Monster Hunter,5.30,"Paul W.S. Anderson,  ","Milla Jovovich, Tony Jaa, Ron Perlman, T.I."
Joker,8.40,"Todd Phillips,  ","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
The Godfather,9.20,"Francis Ford Coppola,  ","Marlon Brando, Al Pacino, James Caan, Diane Keaton"
Once Upon a Time... in Hollywood,7.60,"Quentin Tarantino,  ","Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch"
Molly's Game,7.40,"Aaron Sorkin,  ","Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera"
The Shawshank Redemption,9.30,"Frank Darabont,  ","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
Godzilla: King of the Monsters,6.00,"Michael Dougherty,  ","Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe"
Interstellar,8.60,"Christopher Nolan,  ","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
Pieces of a Woman,7.10,"Kornél Mundruczó,  ","Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Iliza Shlesinger"
Blade Runner 2049,8.00,"Denis Villeneuve,  ","Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
Avengers: Age of Ultron,7.30,"Joss Whedon,  ","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,6.10,"Cathy Yan,  ","Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett"
Gisaengchung,8.60,"Bong Joon Ho,  ","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Woo-sik Choi"
Godzilla,6.40,"Gareth Edwards,  ","Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe"
Guardians of the Galaxy,8.00,"James Gunn,  ","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana"
Bohemian Rhapsody,8.00,"Bryan Singer,  ","Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy"
Play Misty for Me,7.00,"Clint Eastwood,  ","Clint Eastwood, Jessica Walter, Donna Mills, John Larch"
Jiu Jitsu,2.90,"Dimitri Logothetis,  ","Alain Moussi, Nicolas Cage, Raymond Pinharry, Mary Makariou"
Captain America: The First Avenger,6.90,"Joe Johnston,  ","Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell"
Beverly Hills Cop,7.30,"Martin Brest,  ","Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher"
