Movie-Title,rating,Director_stars
A Quiet Place Part II,8.0,"Director:John Krasinski,  Stars:Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski"
Tenet,7.4,"Director:Christopher Nolan,  Stars:John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak"
Nomadland,7.4,"Director:Chloé Zhao,  Stars:Frances McDormand, David Strathairn, Linda May, Gay DeForest"
Promising Young Woman,7.5,"Director:Emerald Fennell,  Stars:Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown"
365 dni,3.3,"Directors:Barbara Bialowas, Tomasz Mandes,  Stars:Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze"
The Father,8.3,"Director:Florian Zeller,  Stars:Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams"
Wonder Woman 1984,5.4,"Director:Patty Jenkins,  Stars:Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal"
Avengers: Endgame,8.4,"Directors:Anthony Russo, Joe Russo,  Stars:Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Kimetsu no Yaiba: Mugen Ressha-Hen,8.4,"Director:Haruo Sotozaki,  Stars:Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono"
A Quiet Place,7.5,"Director:John Krasinski,  Stars:Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe"
The Shawshank Redemption,9.3,"Director:Frank Darabont,  Stars:Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
Greenland,6.4,"Director:Ric Roman Waugh,  Stars:Gerard Butler, Morena Baccarin, Roger Dale Floyd, Scott Glenn"
Sound of Metal,7.8,"Director:Darius Marder,  Stars:Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff"
Love and Monsters,7.0,"Director:Michael Matthews,  Stars:Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing"
Retfærdighedens ryttere,7.7,"Director:Anders Thomas Jensen,  Stars:Mads Mikkelsen, Nikolaj Lie Kaas, Andrea Heick Gadeberg, Lars Brygmann"
Once Upon a Time... in Hollywood,7.6,"Director:Quentin Tarantino,  Stars:Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch"
Tombstone,7.8,"Directors:George P. Cosmatos, Kevin Jarre,  Stars:Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton"
Druk,7.8,"Director:Thomas Vinterberg,  Stars:Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe"
Eurovision Song Contest: The Story of Fire Saga,6.5,"Director:David Dobkin,  Stars:Will Ferrell, Rachel McAdams, Dan Stevens, Mikael Persbrandt"
Knives Out,7.9,"Director:Rian Johnson,  Stars:Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
The Godfather,9.2,"Director:Francis Ford Coppola,  Stars:Marlon Brando, Al Pacino, James Caan, Diane Keaton"
Midnight Run,7.5,"Director:Martin Brest,  Stars:Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton"
Minari,7.5,"Director:Lee Isaac Chung,  Stars:Steven Yeun, Yeri Han, Alan S. Kim, Noel Cho"
The Dry,7.0,"Director:Robert Connolly,  Stars:Eric Bana, Genevieve O'Reilly, Keir O'Donnell, John Polson"
Dawn of the Dead,7.3,"Director:Zack Snyder,  Stars:Sarah Polley, Ving Rhames, Mekhi Phifer, Jake Weber"
Midsommar,7.1,"Director:Ari Aster,  Stars:Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper"
Gisaengchung,8.6,"Director:Bong Joon Ho,  Stars:Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Woo-sik Choi"
Goodfellas,8.7,"Director:Martin Scorsese,  Stars:Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
I Care a Lot,6.3,"Director:J Blakeson,  Stars:Rosamund Pike, Peter Dinklage, Eiza González, Dianne Wiest"
Das schaurige Haus,5.5,"Director:Daniel Prochaska,  Stars:Leon Orlandianyi, Marii Weichsler, Julia Koschitz, Michael Pink"
The Gentlemen,7.8,"Director:Guy Ritchie,  Stars:Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
Harry Potter and the Sorcerer's Stone,7.6,"Director:Chris Columbus,  Stars:Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith"
Titanic,7.8,"Director:James Cameron,  Stars:Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
Interstellar,8.6,"Director:Christopher Nolan,  Stars:Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
The Dark Knight,9.0,"Director:Christopher Nolan,  Stars:Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Love,6.1,"Director:Gaspar Noé,  Stars:Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra"
Soul,8.1,"Directors:Pete Docter, Kemp Powers,  Stars:Jamie Foxx, Tina Fey, Graham Norton, Rachel House"
Bohemian Rhapsody,7.9,"Director:Bryan Singer,  Stars:Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy"
The School of Rock,7.1,"Director:Richard Linklater,  Stars:Jack Black, Mike White, Joan Cusack, Adam Pascal"
Pulp Fiction,8.9,"Director:Quentin Tarantino,  Stars:John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
Venom,6.7,"Director:Ruben Fleischer,  Stars:Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze"
Fifty Shades of Grey,4.1,"Director:Sam Taylor-Johnson,  Stars:Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford"
Thor: Ragnarok,7.9,"Director:Taika Waititi,  Stars:Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo"
State of Play,7.1,"Director:Kevin Macdonald,  Stars:Russell Crowe, Rachel McAdams, Ben Affleck, Helen Mirren"
Joker,8.4,"Director:Todd Phillips,  Stars:Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
The Courier,7.1,"Director:Dominic Cooke,  Stars:Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Vladimir Chuprikov"
Men in Black: International,5.6,"Director:F. Gary Gray,  Stars:Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson"
Beethoven,5.7,"Director:Brian Levant,  Stars:Charles Grodin, Bonnie Hunt, Dean Jones, Nicholle Tom"
The Wolf of Wall Street,8.2,"Director:Martin Scorsese,  Stars:Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey"
Saw,7.6,"Director:James Wan,  Stars:Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung"
French Exit,6.0,"Director:Azazel Jacobs,  Stars:Michelle Pfeiffer, Lucas Hedges, Tracy Letts, Valerie Mahaffey"
Schindler's List,8.9,"Director:Steven Spielberg,  Stars:Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
The Killing of Two Lovers,7.0,"Director:Robert Machoian,  Stars:Chris Coy, Clayne Crawford, Arri Graham, Bruce Graham"
Deadpool 2,7.7,"Director:David Leitch,  Stars:Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
Arrival,7.9,"Director:Denis Villeneuve,  Stars:Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
